"ISO-date","Name","PMB-id","Latitude","Longitude","Type","Wikidata"
1897-05-01,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-05-02,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-05-03,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-05-04,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-05-05,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-05-06,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-05-07,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-05-08,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-05-09,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-05-10,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-05-11,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-05-12,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-05-13,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-05-14,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-05-15,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-05-16,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-05-17,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-05-18,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-05-19,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-05-20,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-05-21,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-05-22,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-05-23,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1914-05-18,"?? [Atlantik, westlich von Frankreich]",pmb252268,"46,38","-8,0","Landschaftlicher Punkt Scenic point"
1914-05-19,"?? [Atlantik, westlich von Frankreich]",pmb252268,"46,38","-8,0","Landschaftlicher Punkt Scenic point"
1926-05-08,"?? [Atlantik, westlich von Frankreich]",pmb252268,"46,38","-8,0","Landschaftlicher Punkt Scenic point"
1922-07-19,"?? [Gebührenamt]",pmb289402,"","","Verwaltungsgebäude Administrative building"
1922-09-30,"?? [Gebührenamt]",pmb289402,"","","Verwaltungsgebäude Administrative building"
1900-02-16,"?? [Hebragasse, Absteigequartier Leopoldine Müller und Arthur Schnitzler]",pmb168801,"48,21573","16,34364","Wohnung Apartment"
1900-02-19,"?? [Hebragasse, Absteigequartier Leopoldine Müller und Arthur Schnitzler]",pmb168801,"48,21573","16,34364","Wohnung Apartment"
1900-02-21,"?? [Hebragasse, Absteigequartier Leopoldine Müller und Arthur Schnitzler]",pmb168801,"48,21573","16,34364","Wohnung Apartment"
